youtube_id,total_comments,total_languages,undetected_languages,af,am,ar,az,be,bg,bn,bs,ca,ceb,co,cs,cy,da,de,el,en,eo,es,et,eu,fa,fi,fr,fy,ga,gd,gl,gu,ha,haw,he,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iw,ja,jw,ka,kk,km,kn,ko,ku,ky,la,lb,lo,lt,lv,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ny,or,pa,pl,ps,pt,ro,ru,rw,si,sk,sl,sm,sn,so,sq,sr,st,su,sv,sw,ta,te,tg,th,tk,tl,tr,tt,ug,uk,ur,uz,vi,xh,yi,yo,zh,zh-cn,zh-tw,zu
Y4iIuhIUUx4,106,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,9,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
YPSJDEH0UIE,963,61,0,1,2,19,2,1,0,0,1,0,0,0,2,0,3,6,0,412,1,52,2,0,1,34,10,0,1,0,1,2,0,0,8,20,0,0,1,2,0,4,0,0,4,0,114,0,2,0,1,0,67,0,0,16,2,0,3,1,0,0,1,2,0,22,2,6,0,1,3,1,0,0,0,0,1,14,2,9,0,1,1,1,0,0,0,0,3,0,0,3,2,0,0,0,1,0,3,14,0,0,1,3,0,0,0,0,0,56,0,0,0
RJbjASZpcBI,217,21,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,5,0,50,0,8,1,0,0,4,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,0,0,26,0,0,0,1,0,83,0,0,2,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
Cz913rkgGkg,1068,58,0,1,1,4,0,0,2,2,1,1,0,0,9,2,3,5,2,383,1,25,6,0,3,24,10,0,0,0,1,0,0,0,3,21,0,0,1,0,0,41,0,0,1,0,32,0,1,0,0,0,262,0,0,14,1,0,0,0,1,0,0,0,0,22,18,3,0,3,6,4,0,0,0,3,0,32,2,7,0,0,3,5,0,0,0,0,0,0,0,4,1,0,1,0,13,0,9,7,0,0,0,0,0,2,1,0,0,37,0,0,0
T4zZWKv7ANQ,495,42,0,0,2,1,2,1,2,0,2,0,0,0,0,1,3,1,0,215,1,10,1,2,0,18,4,0,0,0,0,0,0,0,2,16,0,0,0,0,0,2,0,0,6,0,26,0,0,1,0,0,97,0,0,1,2,0,0,0,0,0,0,0,1,10,0,0,0,0,1,2,0,0,0,3,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,1,4,0,0,0,0,0,3,0,0,0,35,0,0,0
jXcuEAaZ0Tk,55,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,6,0,0,0,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0
047UJ2uGF8M,4271,86,0,5,7,38,46,9,29,1,0,2,0,0,16,2,8,389,1,1296,10,129,29,1,1,146,25,0,1,0,3,3,0,0,6,127,0,1,0,4,4,22,0,0,15,0,203,0,4,20,16,1,190,1,3,33,4,3,18,2,0,0,7,2,10,166,6,2,0,11,3,6,0,1,1,10,2,34,8,287,1,6,4,2,0,0,0,0,46,0,0,20,10,1,0,0,1,0,45,288,0,4,11,6,0,19,2,0,0,303,0,0,0
Kg7KQotNgKA,526,42,0,0,0,1,1,1,1,0,1,0,0,0,0,3,4,4,0,249,0,3,8,0,0,20,8,0,1,0,1,0,0,0,2,9,0,1,0,0,0,0,0,0,3,0,51,0,0,0,1,0,99,1,0,1,0,0,0,0,0,0,0,0,0,6,0,0,0,1,1,1,0,0,0,1,0,4,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,2,0,0,0,0,0,1,0,0,0,21,0,0,0
BLRbN-fptmY,73,20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,22,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,15,0,1,0,1,0,8,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0
dHz35uVUTyQ,2539,80,0,5,5,34,15,4,1,4,2,2,0,0,6,1,5,29,1,894,5,66,14,4,6,92,20,0,2,0,3,0,0,0,24,121,0,5,3,6,4,8,0,2,11,0,153,0,24,3,5,0,151,0,1,43,5,0,9,2,1,0,0,3,0,186,2,11,0,5,6,9,0,0,0,10,0,19,4,33,0,1,6,6,0,0,0,1,4,0,0,19,8,1,0,0,3,0,6,115,0,2,5,3,0,22,1,0,0,190,0,0,0
vrZPnpaT3Ts,6801,89,0,36,17,130,17,4,5,3,4,4,0,0,27,8,18,71,5,2624,12,195,59,3,12,263,63,0,1,0,4,0,0,0,66,267,0,6,5,15,10,70,0,1,48,0,367,0,25,5,33,1,467,3,1,105,22,6,9,4,0,0,2,1,2,235,14,61,0,14,26,9,0,1,0,59,5,79,22,79,2,9,23,9,0,0,0,2,4,0,0,42,27,0,1,0,35,0,8,186,0,9,6,16,0,144,5,0,0,442,0,0,0
8V5yzu158XE,678,50,0,0,1,1,0,0,0,0,0,0,0,0,2,1,1,3,0,232,2,3,11,0,0,25,2,0,1,0,0,2,0,0,2,19,0,0,0,2,0,7,0,0,3,0,49,0,2,0,1,0,203,0,0,7,1,0,1,0,0,0,0,1,0,5,4,3,0,1,2,1,0,0,0,1,0,6,1,0,1,1,1,0,0,0,0,0,0,0,0,8,2,0,0,0,1,0,1,1,0,0,0,0,0,3,0,0,0,39,0,0,0
0E5YMIUgpAU,3198,82,0,8,9,78,36,0,1,11,3,4,0,0,9,5,8,34,1,1371,7,87,29,4,6,56,27,0,6,0,1,1,0,0,27,29,0,5,2,13,6,11,0,2,37,0,206,0,32,0,23,1,155,1,0,54,1,1,7,0,0,0,0,2,2,58,3,26,0,12,25,8,0,0,1,33,3,31,6,27,1,1,4,11,0,0,0,1,2,0,0,10,25,4,0,0,3,0,2,162,0,6,2,6,0,16,5,0,0,247,0,0,1
x0Lo7nqjMoc,113,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0,8,0,0,0,2,0,19,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
y_xBoYMjWik,6778,91,0,3,12,174,57,1,5,15,9,3,0,0,52,6,25,115,3,3022,4,159,31,24,23,145,35,0,1,0,1,0,0,0,51,51,0,30,2,9,12,37,0,1,62,0,420,0,32,32,21,0,114,7,4,52,21,6,38,5,2,0,1,17,3,53,11,309,0,13,38,34,0,2,1,20,3,56,7,40,0,6,12,13,0,0,0,19,6,0,0,16,50,3,2,0,10,0,11,381,0,6,14,7,0,72,5,0,0,512,0,0,0
QHD8M6PswwU,506,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,59,0,4,0,0,0,9,3,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,1,0,0,34,0,1,0,1,0,336,0,0,0,0,0,1,1,0,0,0,0,0,12,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,19,0,0,0
hk0Xgy03UIA,14054,96,0,61,71,171,51,10,18,11,14,3,0,0,27,20,19,183,13,4150,14,329,253,10,14,676,240,0,9,0,14,2,0,0,94,704,0,22,28,43,18,104,0,1,83,0,793,0,87,8,55,0,913,8,3,259,51,12,25,10,4,0,12,2,6,1230,32,158,0,56,40,16,0,3,1,75,7,104,30,147,3,7,38,30,0,0,0,5,15,0,0,167,58,10,1,0,52,0,21,456,0,6,18,32,0,156,23,0,0,994,0,0,7
TWnjHmBrhNs,195,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,91,1,8,5,1,0,3,2,0,0,0,0,0,0,0,0,8,0,0,0,1,0,8,0,0,0,0,5,0,1,0,1,0,15,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,1,1,0,0,0,0,0,3,4,0,1,3,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,11,0,0,0
y4Tr8LE5yV4,517,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,9,0,179,0,5,0,0,0,12,7,0,0,0,1,0,0,0,2,20,0,2,0,0,0,1,0,0,4,0,19,0,1,0,4,0,160,0,0,6,0,0,0,1,0,0,0,0,0,12,1,3,0,0,3,1,0,0,0,4,0,1,0,3,0,1,1,2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0,30,0,0,0
l_eiDqD4MDg,535,39,0,0,1,2,2,0,0,0,0,0,0,0,2,0,1,5,0,212,0,3,12,0,0,22,2,0,0,0,1,0,0,0,2,19,0,0,0,0,0,3,0,0,6,0,43,0,0,0,0,0,101,0,0,3,1,0,2,0,0,0,0,1,0,11,4,0,0,1,1,0,0,0,0,2,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,51,0,0,0
QIbfPcIfl64,199,28,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,6,0,79,0,6,1,0,0,7,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0,31,0,0,1,0,0,1,0,0,0,0,1,0,5,1,0,0,2,0,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,17,0,0,0
E1ZqORJgcEw,97,13,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,4,0,35,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
wsSmCuFyJAo,405,30,0,0,2,0,0,0,0,1,0,0,0,0,2,1,0,3,1,83,0,6,11,0,0,4,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,10,0,0,1,0,29,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,2,0,0,0,0,0,0,8,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,51,0,0,0
klbdGv5Bz3U,24153,96,0,15,60,625,82,19,43,18,12,24,0,0,106,14,46,306,32,8394,28,589,92,25,126,812,172,0,8,0,12,2,0,0,63,753,0,14,9,20,26,252,0,12,138,0,1076,0,59,22,45,2,3757,22,0,218,47,13,61,7,14,0,21,9,21,998,75,590,0,52,56,47,0,1,3,58,18,178,32,277,19,12,24,47,0,0,0,48,37,0,0,91,166,13,1,0,90,0,41,868,0,9,42,60,0,219,10,0,0,1328,0,0,7
yClGpsAUm84,42458,96,0,15,101,3839,93,7,1,172,4,55,0,0,56,117,410,293,95,19867,15,2446,129,29,340,212,471,0,54,0,73,4,0,0,152,29,0,55,14,1202,287,399,0,12,431,0,1158,0,223,5,272,42,1651,5,7,124,6,24,54,7,10,0,0,80,1,73,90,98,0,5,214,77,0,5,18,56,53,507,52,44,161,35,34,25,0,0,0,11,2,0,0,44,175,4,2,0,1038,0,46,1281,0,63,30,100,0,65,131,0,0,2568,0,0,6
zfCo-X7UmKI,6891,91,0,32,12,157,27,1,5,26,5,8,0,0,21,11,20,59,0,3155,12,265,64,2,14,90,64,0,10,0,9,1,0,0,76,63,0,7,7,14,12,53,0,2,45,0,369,0,41,4,34,2,448,1,1,111,24,1,17,5,1,0,4,5,3,56,7,53,0,22,54,16,0,2,0,63,3,109,7,80,2,5,25,20,0,0,0,1,4,0,0,28,20,6,0,0,58,0,11,167,0,9,3,16,0,38,10,0,0,472,0,0,0
8H40GIXZAqk,634,51,0,0,1,1,1,0,0,1,0,2,0,0,1,0,1,2,0,242,0,10,14,1,0,23,4,0,0,0,1,0,0,0,1,16,0,0,0,0,1,5,0,0,2,0,47,0,0,0,1,0,143,0,0,13,1,1,1,1,0,0,0,1,0,6,4,2,0,1,1,1,0,0,0,0,0,5,3,1,0,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,51,0,0,0
8eGoPXPUEg8,4336,78,0,2,9,52,8,0,0,1,3,8,0,0,44,5,8,70,0,2138,21,323,23,13,11,80,19,0,2,0,10,1,0,0,12,60,0,6,1,13,1,30,0,1,26,0,442,0,4,3,11,0,262,2,0,26,7,2,9,3,4,0,3,0,0,37,12,26,0,8,24,4,0,1,0,6,2,63,24,12,1,3,6,12,0,0,0,1,0,0,0,8,11,2,0,0,4,0,10,16,0,0,2,3,0,17,0,0,0,213,0,0,0
1WsSY1I17gw,110137,97,2,49,282,6181,263,28,73,69,31,153,0,0,806,97,200,847,66,50579,239,7122,556,85,969,688,724,0,58,0,154,3,0,0,434,287,0,120,41,160,88,1633,0,64,502,0,7431,0,253,45,485,18,7302,29,19,1320,80,94,250,92,27,0,21,75,61,568,574,646,0,301,403,251,0,18,4,284,156,1833,307,816,100,245,134,258,0,0,0,26,67,0,0,238,313,62,11,0,390,0,395,982,0,184,44,641,0,800,25,0,0,6531,0,0,31
s1y2wwngjpg,65,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,30,1,10,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Tnd-MzvtmfY,803,39,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,4,0,255,0,6,2,1,0,11,5,0,0,0,0,0,0,0,2,15,0,1,0,0,0,7,0,0,1,0,120,0,0,0,1,0,292,0,0,2,0,0,1,1,0,0,0,0,0,16,2,5,0,1,2,2,0,0,0,0,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,29,0,0,0
8zUlnoHjJV4,1515,40,0,0,1,5,3,0,0,0,3,0,0,0,1,0,1,20,0,151,0,7,2,0,0,11,2,0,1,0,0,0,0,0,1,23,0,0,0,0,0,3,0,0,2,0,56,0,1,0,0,0,1096,0,0,4,1,0,0,0,0,0,1,1,0,31,0,0,0,3,1,0,0,0,0,4,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,2,8,0,1,0,0,0,3,0,0,0,49,0,0,0
Dj2nNhZVrOw,898,37,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,3,0,111,0,4,2,0,0,16,0,0,0,0,1,0,0,0,0,25,0,1,0,0,2,3,0,0,2,0,75,0,0,0,0,0,567,0,0,5,0,0,1,2,0,0,0,1,0,16,1,5,0,1,0,1,0,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1,0,0,2,0,0,0,31,0,0,0
AZZh295Y_go,886,54,0,0,3,7,1,0,0,1,0,1,0,0,19,1,2,5,2,392,1,18,6,0,3,23,4,0,1,0,0,0,0,0,3,25,0,0,0,0,0,3,0,0,0,0,97,0,0,0,1,0,102,0,0,15,1,0,0,0,0,0,0,0,0,23,5,6,0,2,2,2,0,3,0,3,1,2,1,1,1,3,1,1,0,0,0,0,0,0,0,6,1,1,0,0,1,0,2,3,0,0,0,0,0,3,0,0,0,67,0,0,0
0QG5p1pXtaA,397,35,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,3,0,118,0,2,2,2,0,7,8,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,0,0,1,0,73,0,0,0,1,0,114,0,0,5,1,0,1,0,0,0,0,1,0,9,0,5,0,1,2,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0
QlzWHuvD-9g,171,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,154,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
LZBI9wFGNDU,12165,95,0,1,16,257,31,1,6,10,2,11,0,0,28,12,28,138,1,7293,9,501,46,43,75,182,69,0,1,0,9,1,0,0,24,85,0,9,2,19,15,229,0,3,110,0,227,0,6,5,4,3,621,2,1,70,4,4,98,9,3,0,3,2,3,90,68,56,0,16,50,24,0,2,0,41,6,114,11,132,4,2,14,18,0,0,0,3,2,0,0,55,10,1,1,0,93,0,51,309,0,10,4,12,0,21,5,0,0,553,0,0,1
MbOXI-S-k14,423,38,0,0,1,6,0,0,0,0,1,1,0,0,1,0,3,0,0,139,1,13,1,0,0,8,0,0,0,0,0,0,0,0,0,14,0,0,0,7,0,11,0,0,0,0,17,0,2,0,0,0,111,0,0,5,1,0,0,0,0,0,0,0,0,15,1,0,0,0,1,1,0,0,0,0,0,3,1,1,3,0,0,1,0,0,0,0,0,0,0,6,10,0,0,0,3,0,0,0,0,2,0,0,0,0,2,0,0,25,0,0,0
89fCmIOkL9o,30492,95,0,15,38,227,110,58,100,5,30,55,0,0,238,13,34,500,5,11483,54,2166,62,23,40,746,231,0,38,0,132,4,0,0,92,536,0,16,13,56,27,171,0,7,127,0,1359,0,58,304,45,0,2450,3,76,392,65,12,70,6,1,0,63,9,112,630,92,34,0,41,94,35,0,23,0,57,13,639,30,2943,21,40,72,26,0,0,0,8,231,0,0,92,43,10,6,0,38,0,42,698,0,16,118,17,0,58,8,0,0,1459,0,0,8
FUvdnUUqU2w,367,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,7,0,0,0,0,1,0,0,0,1,0,20,0,0,0,1,0,270,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,13,0,0,0
VLpUsmBafMQ,22351,97,0,73,52,280,65,6,16,17,15,32,0,0,46,20,53,231,6,10024,34,865,172,25,43,728,276,0,12,0,40,2,0,0,161,494,0,26,22,53,18,188,0,10,262,0,1017,0,80,9,45,2,2132,11,3,309,42,7,33,15,3,0,2,6,16,561,67,165,0,51,136,62,0,1,3,145,4,279,26,151,3,8,98,35,0,0,0,1,12,0,0,178,62,15,1,0,138,0,31,335,0,29,20,32,0,200,18,0,0,1107,0,0,3
FKdtTbkkU1Y,180,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,0,94,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,5,0,0,0,3,0,34,0,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0
q5tmSFR8uHk,851,36,0,1,3,0,2,0,0,0,0,1,0,0,4,1,0,8,0,240,1,1,2,0,0,21,3,0,0,0,0,0,0,0,1,24,0,0,0,1,0,2,0,0,2,0,69,0,1,0,3,0,396,0,0,8,3,0,1,0,0,0,0,1,0,8,0,0,0,1,2,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
vLV5z7RYdOs,706,46,0,0,2,1,0,0,0,0,0,0,0,0,2,0,1,3,0,297,0,7,6,0,0,38,3,0,0,0,0,0,0,0,1,23,0,1,0,1,0,3,0,0,3,0,51,0,1,0,0,1,172,0,0,2,1,0,0,1,0,0,0,1,0,6,1,0,0,1,1,4,0,0,1,2,1,7,0,5,0,1,0,1,0,0,0,0,0,0,0,6,0,1,0,0,3,0,1,2,0,0,0,2,0,1,0,0,0,35,0,0,0
